class,f1_score,precision,recall,support
,0.7,0.0,0.8,0.74
,0.81,1.0,0.79,0.8
,0.41,2.0,0.64,0.5
,0.91,3.0,0.69,0.79
,0.98,4.0,0.84,0.9
,0.89,5.0,0.94,0.91
,0.86,6.0,0.71,0.78
,0.9,7.0,0.89,0.9
,0.8,8.0,0.93,0.86
,0.93,9.0,0.86,0.9
,0.98,10.0,0.93,0.96
,0.76,11.0,0.85,0.8
,0.84,12.0,0.85,0.85
