class,f1_score,precision,recall,support
,0.61,0.0,0.36,0.45
,0.26,1.0,0.25,0.25
,0.23,2.0,0.13,0.16
,0.57,3.0,0.44,0.5
,0.44,4.0,0.57,0.5
,0.31,5.0,0.38,0.34
,0.2,6.0,0.21,0.2
,0.31,7.0,0.43,0.36
,0.59,8.0,0.48,0.53
,0.49,9.0,0.47,0.48
,0.48,10.0,0.81,0.6
,0.31,11.0,0.51,0.39
,0.27,12.0,0.42,0.33
